run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,crop_data
26,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Niedersachsen,LS_CType2_2022_100_25832_etrs89-utm32n.asc
27,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Niedersachsen,LS_CType2_2023_100_25832_etrs89-utm32n.asc
28,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Niedersachsen,LS_CType2_2023_100_25832_etrs89-utm32n.asc
29,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2017_100_25832_etrs89-utm32n.asc
30,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2017_100_25832_etrs89-utm32n.asc
31,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2018_100_25832_etrs89-utm32n.asc
32,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2018_100_25832_etrs89-utm32n.asc
33,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2019_100_25832_etrs89-utm32n.asc
34,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2019_100_25832_etrs89-utm32n.asc
35,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2020_100_25832_etrs89-utm32n.asc
36,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2020_100_25832_etrs89-utm32n.asc
37,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2021-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2021_100_25832_etrs89-utm32n.asc
38,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2021-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2021_100_25832_etrs89-utm32n.asc
39,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2022_100_25832_etrs89-utm32n.asc
40,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2022_100_25832_etrs89-utm32n.asc
41,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2023_100_25832_etrs89-utm32n.asc
42,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,NorthRhineWestphalia,NW_CType2_2023_100_25832_etrs89-utm32n.asc
43,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2017_100_25832_etrs89-utm32n.asc
44,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2017_100_25832_etrs89-utm32n.asc
45,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2018_100_25832_etrs89-utm32n.asc
46,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2018_100_25832_etrs89-utm32n.asc
47,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2019_100_25832_etrs89-utm32n.asc
48,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2019_100_25832_etrs89-utm32n.asc
49,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2020_100_25832_etrs89-utm32n.asc
50,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2020_100_25832_etrs89-utm32n.asc
51,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2021-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2021_100_25832_etrs89-utm32n.asc
52,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2021-01-01,2021-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2021_100_25832_etrs89-utm32n.asc
53,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2022_100_25832_etrs89-utm32n.asc
54,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2022-01-01,2022-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2022_100_25832_etrs89-utm32n.asc
55,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2023_100_25832_etrs89-utm32n.asc
56,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2023-01-01,2023-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Bayern,BAV_CType2_2023_100_25832_etrs89-utm32n.asc
57,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2017_100_25832_etrs89-utm32n.asc
58,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2017_100_25832_etrs89-utm32n.asc
59,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2018_100_25832_etrs89-utm32n.asc
60,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2018-01-01,2018-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2018_100_25832_etrs89-utm32n.asc
61,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2019_100_25832_etrs89-utm32n.asc
62,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2019-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2019_100_25832_etrs89-utm32n.asc
63,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2020_100_25832_etrs89-utm32n.asc
64,True,fixed,auto,SM_sfix_hauto,sim_irrigation.json,crop.json,,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2020-01-01,2020-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,Sachsen,SAX_CType2_2020_100_25832_etrs89-utm32n.asc
