run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,crop_data,irrigation_data
1,True,fixed,auto,SM_sfix_hauto,sim_irrigation_proj.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,1.0,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2030_100_25832_etrs89-utm32n.asc
2,True,fixed,auto,SM_sfix_hauto,sim_irrigation_proj.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1.0,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,
