NUTS_id;FieldConditionModifier
DE111;0.92
DE112;0.86
DE113;0.8
DE114;0.78
DE115;0.85
DE116;0.8
DE117;0.79
DE118;0.86
DE119;0.83
DE11A;0.82
DE11B;0.79
DE11C;0.76
DE11D;0.82
DE121;0.83
DE122;0.89
DE123;0.83
DE124;0.82
DE125;0.89
DE126;0.54
DE127;0.77
DE128;0.84
DE129;0.72
DE12A;0.76
DE12B;0.81
DE12C;0.76
DE131;0.74
DE132;1
DE133;0.82
DE134;0.86
DE135;0.75
DE136;0.74
DE137;0.72
DE138;0.74
DE139;0.53
DE13A;0.72
DE141;0.73
DE142;0.77
DE143;0.71
DE144;0.79
DE145;0.78
DE146;0.8
DE147;0.79
DE148;0.8
DE149;0.78
DE211;0.79
DE212;0.99
DE213;0.99
DE214;0.8
DE215;0.6
DE216;0.79
DE217;0.82
DE218;0.79
DE219;0.81
DE21A;0.82
DE21B;0.79
DE21C;0.8
DE21D;0.94
DE21E;0.79
DE21F;0.8
DE21G;0.78
DE21H;0.76
DE21I;0.81
DE21J;0.8
DE21K;0.73
DE21L;0.75
DE21M;1
DE21N;1
DE221;0.78
DE222;0.91
DE223;0.83
DE224;0.86
DE225;0.77
DE226;0.83
DE227;0.82
DE228;0.83
DE229;0.99
DE22A;0.8
DE22B;0.84
DE22C;0.84
DE231;0.85
DE232;0.84
DE233;0.54
DE234;0.77
DE235;0.77
DE236;0.78
DE237;0.76
DE238;0.84
DE239;0.8
DE23A;0.77
DE241;0.88
DE242;0.8
DE243;0.92
DE244;0.86
DE245;0.77
DE246;0.76
DE247;0.8
DE248;1
DE249;1
DE24A;1
DE24B;1
DE24C;1
DE24D;1
DE251;1
DE252;1
DE253;1
DE254;1
DE255;1
DE256;1
DE257;1
DE258;1
DE259;1
DE25A;0.82
DE25B;0.73
DE25C;0.79
DE261;0.9
DE262;0.8
DE263;0.83
DE264;0.83
DE265;0.76
DE266;0.77
DE267;0.78
DE268;0.84
DE269;0.88
DE26A;0.81
DE26B;0.8
DE26C;0.86
DE271;0.84
DE272;0.84
DE273;0.97
DE274;0.82
DE275;0.84
DE276;0.82
DE277;0.81
DE278;0.79
DE279;0.83
DE27A;0.81
DE27B;0.8
DE27C;0.8
DE27D;0.83
DE27E;0.53
DE300;0.52
DE401;1
DE402;1
DE403;1
DE404;1
DE405;0.78
DE406;0.86
DE407;0.85
DE408;0.88
DE409;0.89
DE40A;0.89
DE40B;0.75
DE40C;0.86
DE40D;0.95
DE40E;0.84
DE40F;0.87
DE40G;0.78
DE40H;0.9
DE40I;0.91
DE501;0.76
DE502;0.82
DE600;0.83
DE711;0.66
DE712;0.91
DE713;0.94
DE714;0.87
DE715;0.9
DE716;0.88
DE717;0.91
DE718;0.85
DE719;0.88
DE71A;0.87
DE71B;0.82
DE71C;0.93
DE71D;0.81
DE71E;0.89
DE721;0.83
DE722;0.77
DE723;0.82
DE724;0.84
DE725;0.83
DE731;0.91
DE732;0.84
DE733;0.81
DE734;0.84
DE735;0.86
DE736;0.81
DE737;0.82
DE803;1
DE804;0.65
DE80J;0.88
DE80K;0.87
DE80L;0.88
DE80M;0.89
DE80N;0.88
DE80O;0.63
DE911;0.91
DE912;0.92
DE913;0.91
DE914;0.96
DE916;0.87
DE917;0.89
DE918;0.87
DE91A;0.92
DE91B;0.89
DE91C;0.87
DE922;0.93
DE923;0.9
DE925;0.91
DE926;0.87
DE927;0.96
DE928;0.92
DE929;0.95
DE931;0.9
DE932;0.83
DE933;0.86
DE934;1
DE935;0.9
DE936;0.83
DE937;0.92
DE938;0.88
DE939;0.89
DE93A;0.96
DE93B;0.88
DE941;0.61
DE942;0.79
DE943;0.76
DE944;0.89
DE945;0.54
DE946;1
DE947;0.81
DE948;0.94
DE949;1
DE94A;0.82
DE94B;0.99
DE94C;0.93
DE94D;0.97
DE94E;0.96
DE94F;0.95
DE94G;0.86
DE94H;0.82
DEA11;0.89
DEA12;0.94
DEA13;0.93
DEA14;0.94
DEA15;0.71
DEA16;1
DEA17;0.8
DEA18;0.65
DEA19;0.66
DEA1A;0.89
DEA1B;0.94
DEA1C;0.91
DEA1D;0.95
DEA1E;0.95
DEA1F;0.9
DEA22;0.91
DEA23;0.93
DEA24;0.59
DEA26;0.94
DEA27;0.96
DEA28;0.86
DEA29;0.96
DEA2A;0.75
DEA2B;0.55
DEA2C;0.9
DEA2D;0.96
DEA31;0.74
DEA32;0.56
DEA33;0.97
DEA34;0.98
DEA35;0.95
DEA36;0.93
DEA37;0.93
DEA38;0.92
DEA41;0.88
DEA42;0.97
DEA43;0.91
DEA44;0.87
DEA45;0.88
DEA46;0.94
DEA47;0.84
DEA51;0.95
DEA52;0.91
DEA53;0.9
DEA54;0.92
DEA55;0.79
DEA56;0.91
DEA57;0.82
DEA58;0.81
DEA59;0.95
DEA5A;0.66
DEA5B;0.9
DEA5C;0.94
DEB11;0.93
DEB12;0.78
DEB13;0.76
DEB14;0.82
DEB15;0.73
DEB17;0.81
DEB18;0.76
DEB1A;0.82
DEB1B;0.75
DEB1C;0.79
DEB1D;0.8
DEB21;0.99
DEB22;0.8
DEB23;0.77
DEB24;0.72
DEB25;0.81
DEB31;0.57
DEB32;0.89
DEB33;0.97
DEB34;0.98
DEB35;0.68
DEB36;0.99
DEB37;0.91
DEB38;0.56
DEB39;0.61
DEB3A;0.93
DEB3B;0.95
DEB3C;0.85
DEB3D;0.81
DEB3E;1
DEB3F;0.8
DEB3G;0.77
DEB3H;0.9
DEB3I;0.96
DEB3J;0.89
DEB3K;0.77
DEC01;0.78
DEC02;0.78
DEC03;0.67
DEC04;0.79
DEC05;0.76
DEC06;0.75
DED21;0.85
DED2C;0.8
DED2D;0.79
DED2E;0.85
DED2F;0.79
DED41;0.83
DED42;0.77
DED43;0.84
DED44;0.74
DED45;0.81
DED51;0.82
DED52;0.83
DED53;0.84
DEE01;0.87
DEE02;0.59
DEE03;0.93
DEE04;0.87
DEE05;0.87
DEE06;0.89
DEE07;0.89
DEE08;0.82
DEE09;0.85
DEE0A;0.86
DEE0B;0.89
DEE0C;0.89
DEE0D;0.83
DEE0E;0.93
DEF01;0.84
DEF02;0.88
DEF03;0.9
DEF04;0.94
DEF05;0.85
DEF06;0.92
DEF07;0.83
DEF08;0.94
DEF09;0.88
DEF0A;0.68
