run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,crop_data
69,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2005-01-01,2005-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2005_100_25832_etrs89-utm32n.asc
70,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2006-01-01,2006-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2006_100_25832_etrs89-utm32n.asc
71,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2007-01-01,2007-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2007_100_25832_etrs89-utm32n.asc
72,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2008-01-01,2008-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2008_100_25832_etrs89-utm32n.asc
73,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2009-01-01,2009-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2009_100_25832_etrs89-utm32n.asc
74,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2010-01-01,2010-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2010_100_25832_etrs89-utm32n.asc
75,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2011-01-01,2011-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2011_100_25832_etrs89-utm32n.asc
76,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2012-01-01,2012-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2012_100_25832_etrs89-utm32n.asc
77,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2013-01-01,2013-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2013_100_25832_etrs89-utm32n.asc
78,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2014-01-01,2014-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2014_100_25832_etrs89-utm32n.asc
79,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2015-01-01,2015-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2015_100_25832_etrs89-utm32n.asc
80,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2016-01-01,2016-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2016_100_25832_etrs89-utm32n.asc
81,True,fixed,auto,SM_sfix_hauto,sim_avgtradefdays_sm.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,2017-01-01,2017-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,100_220_390_120_330_140_25,historic_runs,,BB_CType2_2017_100_25832_etrs89-utm32n.asc
