run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,crop_data,irrigation_data,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
732,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,CCCma-CanESM2,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
733,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,r12i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
734,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,r12i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
735,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
736,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,r12i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
737,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
738,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp45,r12i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
739,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
740,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
741,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,2027-01-01,2027-12-31,False,False,True,True,True,False,False,True,True,True,False,False,False,,,0.98,100_220_390_120_330_140_25,prediction_runs,,crop_MS_2027_100_25832_etrs89-utm32n.asc,irrigation_SM_2020_100_25832_etrs89-utm32n.asc,,DroughtStressThreshold,0.5,1,
