run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,crop_data,irrigation_data,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
42,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,r1i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
43,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MIROC-MIROC5,GERICS-REMO2015,rcp85,r1i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
44,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp45,r1i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
45,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,CLMcom-CCLM4-8-17,rcp85,r1i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
46,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,r1i1p1,v2,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
47,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp26,r2i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
48,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r1i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
49,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp45,r2i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
50,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,MPI-CSC-REMO2009,rcp85,r2i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
51,True,fixed,auto,SM_sfix_hauto,sim_projection_avgyield.json,crop.json,site.json,False,dwd_core_ensemble,dwd_core_ensemble/csvs_dwd_core_ensemble,MPI-M-MPI-ESM-LR,UHOH-WRF361H,rcp85,r1i1p1,v1,2023-01-01,2069-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,,projection,,LS_CType2_{year}_100_25832_etrs89-utm32n.asc,LSirrigation_100_25832_etrs89-utms32n_maize.asc,,,,,
